player_id,player,team,position_group,match_id,xg,goals,shots_total,xa,key_passes,progressive_passes,progressive_carries,pressures,tackles_won,interceptions,clearances,minutes
7459,Jawad El Yamiq,Morocco,CB,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,18.0
12149,Nayef Aguerd,Morocco,CB,3857276,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,6.0,98.0
15890,Noussair Mazraoui,Morocco,FB,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,98.0
21736,Zakaria Aboukhlal,Morocco,CM,3857276,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,29.0
23774,Selim Amallah,Morocco,CM,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,29.0
46258,Azzedine Ounahi,Morocco,CM,3857276,0.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,80.0
59493,Abderrazak Hamdallah,Morocco,ST,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,18.0
102668,Yahya Jabrane,Morocco,CM,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0
9036,David Wallace Wotherspoon,Canada,CM,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0
9922,David Junior Hoilett,Canada,CAM,3857276,0.0,0.0,0.0,0.138778027,2.0,6.0,3.0,11.0,1.0,0.0,0.0,80.0
11846,Steven de Sousa Vitoria,Canada,CB,3857276,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,4.0,98.0
12365,Alphonso Davies,Canada,CAM,3857276,0.051903803,0.0,1.0,0.038882375,1.0,1.0,1.0,14.0,0.0,1.0,0.0,98.0
12770,Jonathan Osorio,Canada,CDM,3857276,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,70.0
15958,Milan Borjan,Canada,GK,3857276,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,98.0
16120,Richie Laryea,Canada,FB,3857276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0
16252,Mark Anthony Kaye,Canada,CM,3857276,0.038882375,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,64.0
16459,Cyle Larin,Canada,ST,3857276,0.0,0.0,0.0,0.27914461,1.0,2.0,1.0,10.0,0.0,0.0,2.0,64.0
23640,Jonathan David,Canada,ST,3857276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,34.0
23828,Kamal Miller,Canada,CB,3857276,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,1.0,2.0,98.0
24024,Tajon Buchanan,Canada,CM,3857276,0.27914461,0.0,1.0,0.0,0.0,3.0,8.0,21.0,0.0,1.0,0.0,98.0
29758,Sam Adekugbe,Canada,FB,3857276,0.0,0.0,0.0,0.0,0.0,5.0,2.0,14.0,0.0,0.0,0.0,65.0
31684,Atiba Hutchinson,Canada,CDM,3857276,0.086874224,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,34.0
44703,Alistair Johnston,Canada,FB,3857276,0.638813,0.0,1.0,0.0,0.0,3.0,0.0,9.0,1.0,1.0,2.0,98.0
133229,Ismael Koné,Canada,CDM,3857276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,33.0
3233,Raheem Sterling,England,W,3857271,0.1885282,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,84.0
3244,John Stones,England,CB,3857271,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0,0.0,1.0,117.0
3308,Kieran Trippier,England,FB,3857271,0.042866398,0.0,1.0,0.06988547,1.0,11.0,0.0,13.0,0.0,0.0,1.0,117.0
3318,Marcus Rashford,England,W,3857271,0.48580678,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,33.0
3336,Harry Maguire,England,CB,3857271,0.30296091,0.0,2.0,0.061030492,1.0,5.0,1.0,4.0,0.0,0.0,3.0,84.0
3382,Luke Shaw,England,FB,3857271,0.021548782,0.0,1.0,0.08285139,1.0,7.0,1.0,4.0,0.0,1.0,1.0,117.0
3468,Jordan Pickford,England,GK,3857271,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,117.0
3616,Callum Wilson,England,CM,3857271,0.0,0.0,0.0,0.6262809,1.0,1.0,1.0,3.0,0.0,0.0,0.0,28.0
3943,Declan Rice,England,CDM,3857271,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,1.0,1.0,0.0,117.0
4354,Phil Foden,England,CAM,3857271,0.0,0.0,0.0,0.0776978,1.0,1.0,0.0,7.0,0.0,0.0,0.0,33.0
7843,Mason Mount,England,CAM,3857271,0.06697492,0.0,1.0,0.028282227,1.0,3.0,3.0,11.0,0.0,1.0,0.0,84.0
9638,Jack Grealish,England,W,3857271,0.6262809,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,33.0
10955,Harry Kane,England,ST,3857271,0.0,0.0,0.0,0.59663718,2.0,1.0,0.0,3.0,0.0,0.0,0.0,89.0
10956,Eric Dier,England,CM,3857271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,33.0
22084,Bukayo Saka,England,W,3857271,0.169339465,2.0,3.0,0.06697492,1.0,3.0,3.0,14.0,0.0,0.0,0.0,84.0
30714,Jude Bellingham,England,CM,3857271,0.08285139,1.0,1.0,0.0,0.0,7.0,3.0,13.0,2.0,0.0,0.0,117.0
5220,Morteza Pouraliganji,Iran,CB,3857271,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,1.0,4.0,117.0
5222,Roozbeh Cheshmi,Iran,CB,3857271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,45.0
5224,Sardar Azmoun,Iran,ST,3857271,0.35130003,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0
5226,Mehdi Taremi,Iran,CAM,3857271,0.911224045,2.0,3.0,0.0065368367,1.0,2.0,2.0,22.0,0.0,1.0,1.0,117.0
5227,Alireza Safar Beiranvand,Iran,GK,3857271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
5228,Seyed Majid Hosseini,Iran,CB,3857271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,117.0
5230,Ehsan Hajsafi,Iran,FB,3857271,0.0,0.0,0.0,0.11232807,1.0,1.0,0.0,8.0,0.0,1.0,2.0,117.0
5239,Alireza Jahanbakhsh,Iran,CM,3857271,0.11232807,0.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,45.0
5720,Milad Mohammadi,Iran,FB,3857271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,1.0,1.0,76.0
5722,Saeid Ezatolahi Afagh,Iran,CDM,3857271,0.0065368367,0.0,1.0,0.06202265,1.0,1.0,0.0,8.0,0.0,0.0,2.0,72.0
23538,Sadegh Moharrami,Iran,CM,3857271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,1.0,2.0,117.0
23874,Ali Gholizadeh,Iran,CM,3857271,0.0,0.0,0.0,0.111492939,2.0,2.0,1.0,3.0,0.0,2.0,0.0,72.0
124161,Mehdi Torabi,Iran,CM,3857271,0.045791544,0.0,1.0,0.35130003,1.0,1.0,0.0,5.0,0.0,0.0,0.0,41.0
124167,Ahmad Nourollahi,Iran,CDM,3857271,0.028478073,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,4.0,90.0
124175,Mohammad Hossein Kanani Zadegan,Iran,CM,3857271,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,72.0
